pc01_district_id_unique,name,prop_vill_p_sch_01,prop_vill_m_sch_01,prop_vill_s_sch_01,prop_vill_ph_cntr_01,prop_vill_all_hosp_01,prop_vill_disp_01,prop_vill_mcw_cntr_01,avg_vill_t_p_01,prop_rural_pop_01,prop_rural_area_01,prop_vill_sc_pop_01,prop_vill_st_pop_01,area_total_01,area_rural_01,no_villages_inhabited_rural_01
21-002,jharsuguda,0.9248554913294798,0.3670520231213873,0.1994219653179191,0.05202312138728324,0.00578034682080924,0.03179190751445086,0.00578034682080924,935.7456647398844,0.6353165292044982,0.9262085535800096,0.18045328753922563,0.40070050159373377,2081,1927.44,346
21-003,sambalpur,0.6655896607431341,0.23667205169628433,0.12762520193861066,0.0258481421647819,8.077544426494346e-4,0.01938610662358643,8.077544426494346e-4,549.6623586429725,0.7287575097823566,0.9784121976866456,0.1760325769087206,0.4301553898560138,6657,6513.29,1238
21-004,debagarh,0.680731364275668,0.2489451476793249,0.09845288326300984,0.01265822784810126,0.00140646976090014,0.00984528832630098,0.00140646976090014,356.9423347398031,0.926685831861894,0.9917925170068028,0.1520257224590797,0.3448574783478994,2940,2915.87,711
21-005,sundargarh,0.1514799767846779,0.05803830528148578,0.02321532211259431,0.00754497968659315,5.803830528148578e-4,0.00580383052814857,5.803830528148578e-4,108.52698781195588,0.656304539368855,0.9747981878088962,0.13649247026610764,0.5088506460169419,9712,9467.24,1723
21-006,kendujhar,0.2068632189463509,0.08168197196713388,0.05026582890285162,0.00628322861285645,9.666505558240696e-4,0.00821652972450459,9.666505558240696e-4,159.4050265828903,0.8643966990825805,0.9760821389859088,0.08279337434697052,0.5823461457995385,8303,8104.41,2069
21-007,mayurbhanj,0.3281750266808965,0.09364994663820704,0.04482390608324439,0.01387406616862326,2.6680896478121667e-4,0.00720384204909285,2.6680896478121667e-4,266.73505869797225,1.13161222889052,0.9924553657131888,0.06115093881005038,0.6006193715659237,10418,10339.4,3748
21-008,baleshwar,0.23192887514495555,0.15848473134905297,0.07421724004638577,0.0100502512562814,0,0.00657131812910707,0,259.46308465403945,0.8911498497412704,0.965664739884393,0.1624031071270546,0.07816832059305961,3806,3675.32,2587
21-009,bhadrak,0.11263073209975864,0.07884151246983105,0.05229283990345937,0.00241351568785197,0,0.00321802091713596,0,86.56074014481094,1.2726300075951322,0.9610578842315368,0.2640271388075654,0.03660021376458014,2505,2407.45,1243
21-010,kendrapara,0.5849324804548686,0.34186211798152094,0.17626154939587776,0.02416488983653162,7.107320540156361e-4,0.01421464108031272,7.107320540156361e-4,651.8813077469794,0.9430593584510044,0.994965960665658,0.22861500855323336,0.0013235978748295,2644,2630.69,1407
21-011,jagatsinghapur,0.7375713121434393,0.3789731051344743,0.20863895680521596,0.03178484107579462,0,0.01222493887530562,0,776.4914425427872,0.9012423070849986,0.9753776978417268,0.2220675829567937,0.0052353438187152,1668,1626.93,1227
21-012,cuttack,0.47790948275862066,0.22359913793103448,0.12338362068965517,0.01616379310344827,0.00161637931034482,0.01131465517241379,0.00161637931034482,546.1255387931035,0.7241464887783233,0.9436393692777212,0.23415340629374837,0.02835511523674316,3932,3710.39,1856
21-013,jajapur,0.4684745762711864,0.288135593220339,0.14711864406779662,0.02033898305084745,6.779661016949153e-4,0.01084745762711864,6.779661016949153e-4,598.2515254237288,1.0059267112016503,0.9823525353570196,0.2561985718834887,0.09785011916080873,2899,2847.84,1475
21-014,dhenkanal,0.17286245353159851,0.10223048327137546,0.05018587360594796,0.00557620817843866,9.293680297397768e-4,0.00743494423791821,9.293680297397768e-4,191.11059479553904,0.9127763436869072,0.9878683737646,0.17743088482019112,0.2321200184793445,4452,4397.99,1076
21-015,anugul,0.4093919325707405,0.16315472606863335,0.07344972907886815,0.01264298615291992,0.0012040939193257,0.01204093919325707,0.0012040939193257,402.5641180012041,0.8610389621781697,0.9832847058823528,0.1826611172510951,0.1129858418117456,6375,6268.44,1661
21-016,nayagarh,0.5538863487916394,0.2357935989549314,0.12148922273024168,0.02351404310907903,0.0039190071848465,0.01959503592423252,0.0039190071848465,540.3527106466362,0.9571251428544988,0.99033676092545,0.13817812590658543,0.06084880572478483,3890,3852.41,1531
21-017,khordha,0.117820324005891,0.06185567010309278,0.02282768777614138,0.00368188512518409,7.363770250368188e-4,0.00220913107511045,7.363770250368188e-4,86.73122238586156,4.866411170797834,0.9204265908282973,0.08139682970937588,0.0843939175248979,2813,2589.16,1358
21-018,puri,0.22124450031426776,0.10810810810810811,0.0502828409805154,0.00691389063482086,6.285355122564425e-4,0.00628535512256442,6.285355122564425e-4,244.61659333752357,0.86422410064138655,0.978344351825237,0.2096432287986433,0.00308079705024602,3479,3403.66,1591
21-019,ganjam,0.11024182076813656,0.04089615931721194,0.0216927453769559,0.00355618776671408,3.5561877667140827e-4,0.00533428165007112,3.5561877667140827e-4,122.83001422475108,0.8239723979516774,0.967366561052888,0.2171060631503367,0.04521161095316128,8206,7938.21,2812
