office,total_recorded_days,total_days_of_service_female,total_days_of_service_embedded,prop_service_female,prop_service_embedded
akola,3715,0,2552,0,0.6869448183041723
alappuzha,2674,93,1901,0.034779356768885564,0.7109199700822737
amravati,3261,2089,1172,0.6406010426249616,0.35939895737503835
atnagiri,2942,0,2942,0,1
beed,3139,0,2478,0,0.789423383243071
bhandara,2711,751,1160,0.27701954998155665,0.42788638878642565
chandrapur,2632,0,0,0,0
ernakulam,3404,1021,1021,0.2999412455934195,0.2999412455934195
gadchiroli,4239,0,2481,0,0.5852795470629866
gondia,5093,0,3069,0,0.6025917926565875
hyderabad,669,0,669,0,1
idukki,4231,0,1469,0,0.34719924367761756
jalgaon,2721,0,1395,0,0.5126791620727673
jalna,4940,1115,2718,0.2257085020242915,0.5502024291497976
karimnagar,134,0,0,0,0
kasargod,3876,0,1529,0,0.39447884416924667
kolhapur,4217,0,3938,0,0.9338392221958739
kottayam,3785,2283,2319,0.6031704095112286,0.6126816380449142
malappuram,3179,300,3047,0.09436929852154766,0.9584775086505191
mumbai city,5480,426,1595,0.07773722627737226,0.29105839416058393
mumbai sub urban,4888,0,3792,0,0.7757774140752864
nagpur,4210,0,2220,0,0.5273159144893111
nandurbar,2835,0,1501,0,0.5294532627865961
nashik,1922,0,1243,0,0.6467221644120708
palakkad/palghat,3488,201,1341,0.05762614678899083,0.3844610091743119
parbhani,2990,723,2267,0.24180602006688964,0.7581939799331103
pathanamthitta,2888,0,2000,0,0.6925207756232687
pune,5055,0,5055,0,1
raigad / raigarh (mh),4077,0,4077,0,1
ratnagiri,2928,0,870,0,0.29713114754098363
sangli,2890,1168,2203,0.40415224913494807,0.7622837370242215
sindhudurg,2625,979,1646,0.372952380952381,0.6270476190476191
thane,4637,0,2155,0,0.46474013370713824
thiruvananthapuram / trivandrum,3176,0,1747,0,0.5500629722921915
thrissoor,3135,638,2140,0.20350877192982456,0.682615629984051
washim,3441,0,3048,0,0.8857890148212729
wayanad,2962,0,921,0,0.31093855503038487
