state_code,dist_code,name,no_vill_inhabited_total_coi_11,no_vill_inhabited_rural_coi_11,no_vill_inhabited_urban_coi_11,no_vill_uninhabited_total_coi_11,no_vill_uninhabited_rural_coi_11,no_vill_uninhabited_urban_coi_11,no_towns_total_coi_11,no_hh_total_coi_11,no_hh_rural_coi_11,no_hh_urban_coi_11,pop_p_total_coi_11,pop_p_rural_coi_11,pop_p_urban_coi_11,pop_m_total_coi_11,pop_m_rural_coi_11,pop_m_urban_coi_11,pop_f_total_coi_11,pop_f_rural_coi_11,pop_f_urban_coi_11,area_total_coi_11,area_rural_coi_11,area_urban_coi_11
21,370,bargarh,1179.0,1179.0,0.0,27.0,27.0,0.0,8.0,370308.0,336130.0,34178.0,1481255.0,1331145.0,150110.0,749161.0,672603.0,76558.0,732094.0,658542.0,73552.0,5837.0,5759.09,77.91
21,371,jharsuguda,347.0,347.0,0.0,4.0,4.0,0.0,5.0,136061.0,84287.0,51774.0,579505.0,348340.0,231165.0,296690.0,176162.0,120528.0,282815.0,172178.0,110637.0,2114.0,1955.41,158.59
21,372,sambalpur,1229.0,1229.0,0.0,84.0,84.0,0.0,6.0,249597.0,179411.0,70186.0,1041099.0,733006.0,308093.0,526877.0,368692.0,158185.0,514222.0,364314.0,149908.0,6624.0,6467.75,156.25
21,373,debagarh,718.0,718.0,0.0,160.0,160.0,0.0,1.0,75452.0,70058.0,5394.0,312520.0,290130.0,22390.0,158230.0,146666.0,11564.0,154290.0,143464.0,10826.0,2940.0,2915.87,24.13
21,374,sundargarh,1713.0,1713.0,0.0,49.0,49.0,0.0,14.0,479109.0,312497.0,166612.0,2093437.0,1355340.0,738097.0,1061147.0,676068.0,385079.0,1032290.0,679272.0,353018.0,9712.0,9436.12,275.88
21,375,kendujhar,2064.0,2064.0,0.0,59.0,59.0,0.0,9.0,405272.0,348448.0,56824.0,1801733.0,1548674.0,253059.0,906487.0,774667.0,131820.0,895246.0,774007.0,121239.0,8303.0,8101.03,201.97
21,376,mayurbhanj,3751.0,3751.0,0.0,199.0,199.0,0.0,5.0,586253.0,542726.0,43527.0,2519738.0,2326842.0,192896.0,1256213.0,1157576.0,98637.0,1263525.0,1169266.0,94259.0,10418.0,10309.93,108.07
21,377,baleshwar,2635.0,2635.0,0.0,297.0,297.0,0.0,5.0,533001.0,477434.0,55567.0,2320529.0,2067236.0,253293.0,1185787.0,1056466.0,129321.0,1134742.0,1010770.0,123972.0,3806.0,3675.32,130.68
21,378,bhadrak,1250.0,1250.0,0.0,62.0,62.0,0.0,4.0,306333.0,270791.0,35542.0,1506337.0,1320499.0,185838.0,760260.0,665255.0,95005.0,746077.0,655244.0,90833.0,2505.0,2388.57,116.43
21,379,kendrapara,1415.0,1415.0,0.0,132.0,132.0,0.0,2.0,321934.0,305868.0,16066.0,1440361.0,1356827.0,83534.0,717814.0,675053.0,42761.0,722547.0,681774.0,40773.0,2644.0,2630.69,13.31
21,380,jagatsinghapur,1223.0,1223.0,0.0,69.0,69.0,0.0,4.0,261307.0,233626.0,27681.0,1136971.0,1020991.0,115980.0,577865.0,516813.0,61052.0,559106.0,504178.0,54928.0,1668.0,1620.58,47.42
21,381,cuttack,1854.0,1854.0,0.0,96.0,96.0,0.0,11.0,579170.0,429454.0,149716.0,2624470.0,1888423.0,736047.0,1352760.0,970885.0,381875.0,1271710.0,917538.0,354172.0,3932.0,3703.07,228.93
